,Date,Address,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvMosquito,WnvPresentAdj,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,10,11,12,13,14,15,17,18,20,21,22,24,25,27,28,29,30,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50,51,52,53,55,58,60,61,62,63,64,65,66,67,68,70,71,72,73,75,77,79,80,81,82,89,90,91,93,96,98
0,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,1,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,1,0,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
